word,estimate_set,se_set,convergence_set,estimate,se,glottocode,convergence,delta,zeta,langname,area,langfamily,longitude,latitude,population,subsistence
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.5861492207395225,0.29345851700164594,buli1254,converged,0.682816056965418,2.322775362362864,Buli,Africa,Atlantic-Congo,-1.26748,10.5763,150000,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.422018338051856,0.11099605131811695,shan1277,converged,0.25836606529894635,2.321461395372795,Shan,Eurasia,Tai-Kadai,98.0342,21.5995,3295000,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.518178404298286,0.06942932479187751,mara1378,converged,0.16220599905251643,2.3203582450701674,Marathi,Eurasia,Indo-European,76.6665,17.9344,68000000,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.513697714720021,0.3258069450898184,ayiw1239,converged,0.7552675629849199,2.3148987480196204,Äiwoo,Papunesia,Austronesian,166.328715,-10.282595,8400,other
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.8324093212834525,0.1878564705308032,tswa1253,converged,0.43655595642148803,2.3141343606578744,Tswana,Africa,Atlantic-Congo,24.7587,-24.368,4521700,other
ice_group,-7.579352698752784,0.016976519569567937,converged,-6.744605114027584,0.3607522204732127,nort2961,converged,0.8347475847251999,2.311350527503326,Northwestern Ojibwa,North America,Algic,272.2138,51.6192,20000,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-7.084085843197266,0.1468799902622263,czec1258,converged,0.34138015637428065,2.3111479338113137,Czech,Eurasia,Indo-European,15.10437,49.873398,9282000,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.960374523896036,0.22749079559506213,cent2087,converged,0.5258234908568546,2.309452999180716,Coastal-Naga Bikol,Papunesia,Austronesian,123.403,13.7574,2500000,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-6.084780070671401,0.17367930896399839,giry1241,converged,0.4014179440814898,2.3079127546958382,Giryama,Africa,Atlantic-Congo,39.6648,-3.30638,623000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.039801670372784,0.2569722725815805,kuan1247,converged,0.5910477145066881,2.297606425353267,Kuanyama,Africa,Atlantic-Congo,16.58,-17.7176,668000,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.019115483089894,0.2661866386214852,sele1250,converged,0.6117339017895782,2.2958682686961995,Selepet,Papunesia,Nuclear Trans New Guinea,147.234,-6.03532,7000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-7.044149747543184,0.16549624874497895,finn1318,converged,0.3813162520283626,2.293858934068171,Finnish,Eurasia,Uralic,25.5577,64.7628,4739460,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.231262454874286,0.19670399481777154,kuru1301,converged,0.44912194847651676,2.2812821357701365,Kurukh,Eurasia,Dravidian,86.46568,24.46442,2090000,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.510329145231828,0.19679844745915206,ngal1292,converged,0.44917625931841965,2.2801263881415488,Ngalkbun,Australia,Gunwinyguan,133.936,-13.9783,100,hunter-gatherer
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.634165594063081,0.34669765961599275,devo1240,converged,0.7913004055084656,2.2800747554830663,Devon,Eurasia,Indo-European,-1,53,1194166,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.113416270246066,0.22674943127350197,hakk1236,converged,0.5174331146334055,2.2788543701456554,Hakka Chinese,Eurasia,Sino-Tibetan,116,25,28070000,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.758661061538719,0.292277578705599,oldc1244,converged,0.6668049380328274,2.278150968020068,Old Chinese,Eurasia,Sino-Tibetan,114.32,36.12,57671400,other
snow_group,-7.425465999571546,0.015638920759886255,converged,-6.7419478846852465,0.2998539541231797,wamp1249,converged,0.6835181148862999,2.2764094301014115,Wampanoag,North America,Algic,286.6852,41.705,2756,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-6.139672299446211,0.15194246962006136,plai1258,converged,0.3465257153066794,2.2763257009135387,Plains Cree,North America,Algic,249.537,51.2437,34100,hunter-gatherer
dance_group,-7.2689652777049405,0.017259019975557535,converged,-6.575087669290343,0.30521334566382324,diri1252,converged,0.6938776084145974,2.269792253171477,Diriku-Shambyu,Africa,Atlantic-Congo,20.6678,-18.1681,36200,other
smell_group,-6.48619801475289,0.00935661688720496,converged,-5.986580611732541,0.2204744196660985,mota1237,converged,0.4996174030203493,2.2640635466351053,Mota,Papunesia,Austronesian,167.690924,-13.835361,900,other
rain_group,-6.630849384879472,0.011841869244688621,converged,-6.109266639652348,0.23017678880070788,niue1239,converged,0.521582745227124,2.263016433370734,Niuean,Papunesia,Austronesian,190.14,-19.06,7950,other
wind_group,-5.959505404550248,0.008824866560647699,converged,-5.549976411808813,0.1812563641439931,aona1235,converged,0.4095289927414347,2.2567178430176726,Ao Naga,Eurasia,Sino-Tibetan,94.3824,26.3241,232000,other
taste_group,-6.680384403350803,0.0081461392106451,converged,-6.155099879652255,0.23265075458098453,male1292,converged,0.5252845236985477,2.256441496865327,Malecite-Passamaquoddy,North America,Algic,292.59195,45.494475,2060,hunter-gatherer
