word,predictor,coefficient,p_val,warnings_m1,warnings_m2
evidence,maxmonth_wnd,0.10916204466195309,0.23700867571545708,,
shower,maxmonth_wnd,0.10967736631793694,0.13554352322832372,,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting')
evening,maxmonth_wnd,0.10992035754556247,0.014768535902435697,,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting')
accident,maxmonth_wnd,0.1105444929410229,0.1345755944966405,,
flight,maxmonth_wnd,0.1107754144226063,0.18532261709082848,,
ghost,maxmonth_wnd,0.11077707743419817,0.15804034983341766,,
pillow,maxmonth_wnd,0.1110258112581039,0.053149529171279464,,
towel,maxmonth_wnd,0.11186210723307256,0.13814595885736816,,
history,maxmonth_wnd,0.11218881797014026,0.1854528230123561,,
material,maxmonth_wnd,0.11234289629794313,0.2594085738939489,,
box,maxmonth_wnd,0.11250465757601248,0.05529854674836722,,
east,maxmonth_wnd,0.11291735092903346,0.10408530780493229,,
town,maxmonth_wnd,0.11305317411607439,0.26051836051184746,,
seat,maxmonth_wnd,0.11398452789979568,0.038393429986414165,,
introduction,maxmonth_wnd,0.11433128502092038,0.1835325138380225,,
witness,maxmonth_wnd,0.11490467584573641,0.13621941863570677,,
supply,maxmonth_wnd,0.11501060175109623,0.17767322419578307,,
hail,maxmonth_wnd,0.1151930270177879,0.1547023586951535,,
grease,maxmonth_wnd,0.11525849529964151,0.1774579294854765,,
meal,maxmonth_wnd,0.11529425870403846,0.0721463454183233,,
characteristic,maxmonth_wnd,0.11589514356965415,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
flock,maxmonth_wnd,0.11635059974742996,0.1683046572135088,,
choice,maxmonth_wnd,0.11664192660405874,0.14276295551285534,,
cough,maxmonth_wnd,0.11687356764251611,0.0373444768231167,,
neighbor,maxmonth_wnd,0.11705403497921416,0.17433217264718548,,
attempt,maxmonth_wnd,0.119136709049645,0.08572920399588457,,
wind,maxmonth_wnd,0.11980370244456423,0.0066445828669717336,,
fact,maxmonth_wnd,0.12030854558997713,0.12458562109702831,,
shovel,maxmonth_wnd,0.12037321547519349,0.14427199417887354,,
camp,maxmonth_wnd,0.12076313116928936,0.2664474651490103,,
battle,maxmonth_wnd,0.12077328560749165,0.2155505965922236,,
channel,maxmonth_wnd,0.12101693240627606,0.29686247742782934,,
yard,maxmonth_wnd,0.1213071923653096,0.1425864683882456,,
fun,maxmonth_wnd,0.12202950980367196,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
gathering,maxmonth_wnd,0.12261858477150064,0.0491396723612633,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
pumpkin,maxmonth_wnd,0.12377061733662734,0.2625054907815242,,
liar,maxmonth_wnd,0.12382127261758673,0.1627062080249368,,
guest,maxmonth_wnd,0.12394045345019639,0.18727870254886853,,
element,maxmonth_wnd,0.12532078667150062,0.36993874443470953,,
benefit,maxmonth_wnd,0.12558670206383704,0.21150481500252513,,
pebble,maxmonth_wnd,0.12592980103226845,0.1263976361627906,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
stink,maxmonth_wnd,0.1259490713133472,0.0887873952501537,,
culture,maxmonth_wnd,0.12617157631583997,0.21923776274005127,,
punch,maxmonth_wnd,0.12637773462301674,0.1996828322226933,,
country,maxmonth_wnd,0.12669927318525923,0.09542134681235619,,
beard,maxmonth_wnd,0.12755261942735277,0.006735794284589605,,
god,maxmonth_wnd,0.12902578703723874,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
nation,maxmonth_wnd,0.12917114625220602,0.2433558889035262,,
hospital,maxmonth_wnd,0.12971636130026812,0.17094587428471889,,
dwelling,maxmonth_wnd,0.1301215226448294,0.22376877345078436,,
journey,maxmonth_wnd,0.13030394352448532,0.13378530888461732,,
district,maxmonth_wnd,0.1321179781365806,0.29838997135249823,,
fishing,maxmonth_wnd,0.1342536085376338,0.18265730049570056,,
feature,maxmonth_wnd,0.1368792423210934,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting'),
aspect,maxmonth_wnd,0.13795552906844913,0.18095301457895263,,
sunrise,maxmonth_wnd,0.13799364597268252,0.12592168392780276,,
affection,maxmonth_wnd,0.13800219167286282,0.2125675554370949,,
cattle,maxmonth_wnd,0.13850900536776511,0.1724606375429955,,
toe,maxmonth_wnd,0.1387329991470595,0.036760166628027564,,
toilet,maxmonth_wnd,0.13883233327767114,0.1843944031952655,,
judge,maxmonth_wnd,0.13914525560958882,0.14277646760870144,,
screw,maxmonth_wnd,0.13971196599891428,0.1221458880521365,,
devil,maxmonth_wnd,0.1400063638237121,0.20408161690577897,,
spray,maxmonth_wnd,0.1402201232357539,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
angel,maxmonth_wnd,0.14054353915630685,0.16754954036820355,,
servant,maxmonth_wnd,0.1407144774764306,0.10733551948223864,,
timber,maxmonth_wnd,0.14087766084442307,0.23136101215679045,,
formation,maxmonth_wnd,0.14129244648628764,0.12224409902400576,,
goal,maxmonth_wnd,0.14201211899467212,0.16266447076683752,,
speed,maxmonth_wnd,0.1420461117144833,0.0568352851371164,,
company,maxmonth_wnd,0.14251593217875053,0.09207107203092603,,
burden,maxmonth_wnd,0.14251787483887887,0.15608303509834562,,
inch,maxmonth_wnd,0.14507824967310357,0.24133677475225493,,
agent,maxmonth_wnd,0.14539447692523536,NA,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting'),
alphabet,maxmonth_wnd,0.1456717687704943,0.16548649014610115,,
minute,maxmonth_wnd,0.14666709538452735,0.05903653432043148,,
spill,maxmonth_wnd,0.14669513653319155,0.08654315316628293,,
north,maxmonth_wnd,0.14672625366310096,0.08285864359518239,,
game,maxmonth_wnd,0.14682254787723098,0.029087441190878922,,
funeral,maxmonth_wnd,0.1469301103082515,0.24273147157662814,,
dialect,maxmonth_wnd,0.14714287401359843,0.21971913146196023,,
nurse,maxmonth_wnd,0.1471996632262215,0.033433486760093764,,
bread,maxmonth_wnd,0.14732168684671806,0.03030346435666535,,
wheel,maxmonth_wnd,0.14748059684670697,0.042221935527092996,,
party,maxmonth_wnd,0.14852483592397317,0.054293255024124715,,
nape,maxmonth_wnd,0.1491914716719174,0.08289077471355671,,
partner,maxmonth_wnd,0.14961846088763261,0.05344174921411505,Model convergence problem; singular convergence (7). See vignette('troubleshooting'),Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting')
band,maxmonth_wnd,0.14992413060491744,0.04817188826242925,,
flap,maxmonth_wnd,0.15015095237732057,0.044544841330766534,,
spark,maxmonth_wnd,0.15052183302089564,0.007069891107910084,,
messenger,maxmonth_wnd,0.1509824660425861,0.0604687016750356,,
garment,maxmonth_wnd,0.1520678330547558,0.14130103505665526,,
importance,maxmonth_wnd,0.15261024360435058,0.051256878661142674,,Model convergence problem; extreme or very small eigenvalues detected. See vignette('troubleshooting');Model convergence problem; singular convergence (7). See vignette('troubleshooting')
translation,maxmonth_wnd,0.15355456951493712,NA,,Model convergence problem; non-positive-definite Hessian matrix. See vignette('troubleshooting')
pin,maxmonth_wnd,0.15378947645992186,0.10484095484559144,,
peace,maxmonth_wnd,0.15379855688560407,0.04389914367827823,,
stagger,maxmonth_wnd,0.1543406339847694,0.048587965507393284,,
collection,maxmonth_wnd,0.15510119264581998,0.15440865444194946,,
paint,maxmonth_wnd,0.15538125354495363,0.028720551753778908,,
carpenter,maxmonth_wnd,0.15568403689950303,0.07072851588372471,,
