glottocode,longitude,latitude,avgmonth_wnd,minmonth_wnd,maxmonth_wnd
masa1300,36.4573,-3.1419,2.816666666666667,2.3000000000000003,3.6
masb1238,123.63579,12.21453,2.7666666666666666,2.2,3.2
maya1287,267.1557966206964,17.423987813269193,3.375,2.7,3.9
mbay1241,15.7328,8.23066,1.4583333333333333,1.1,1.8
mbuk1240,22.5026,-17.6827,1.225,1,1.6
medi1245,281.4608,-1.04518,3.6083333333333334,3.3000000000000003,4
mele1250,168.275,-17.6841,3.025,2.7,3.2
mesk1242,271,44,4.575,3.8000000000000003,5.2
mexi1248,-1.11788,40.4414,3.6416666666666666,3.1,4.2
mikm1235,296,46,5.016666666666667,4.2,5.7
midd1344,108.9,34.27,1.7,1.4000000000000001,2
midd1317,-1.11,51.65,4.083333333333333,3.6,4.6000000000000005
midd1343,10.599,48.254,2.5166666666666666,2,3
midl1243,-1,53,4.458333333333333,3.9,5.1000000000000005
mind1253,119.5,26,2.7333333333333334,2.4,3.1
minn1241,118.17,24.5,3.0500000000000003,2.6,3.5
misi1243,152.696,-10.6821,3.591666666666667,2.9,4.3
misi1242,94.69,27.418,1.2750000000000001,0.7000000000000001,2.1
lush1249,92.6247,22.6138,1.375,0.9,2.1
mode1248,23.13,38.36,1.5166666666666666,1.2,1.7
hebr1245,35.0179,31.1056,3.0583333333333336,2.5,3.4
moki1238,159.776,6.65651,2.625,2,2.9
monn1252,98.122465,15.49394,0.8500000000000001,0.6,1.1
moro1292,-7.5,32.5,2.6833333333333336,2.1,3.1
luxe1241,6.14931,49.6839,3.691666666666667,3.1,4.2
mota1237,167.690924,-13.835361,2.45,2.2,2.6
mudb1240,132.329,-16.7694,2.4333333333333336,1.9000000000000001,2.7
muna1247,122.541,-5.40419,2.3916666666666666,2,3
mund1320,85.85,23.03,1.6,0.9,2.3000000000000003
mung1266,10.0294,5.89752,1.825,1.5,2.4
muru1266,146.546,-28.9618,3.025,2.3000000000000003,3.7
mush1238,42.6626,0.00689,3.7333333333333334,3.1,4.3
mwag1236,8.96522,9.47205,3.5583333333333336,2.9,3.9
misk1235,275.7058,15.1576,7.125,6.1000000000000005,7.9
sout2856,168.377,-17.7006,3.025,2.7,3.2
naka1262,150.888,-5.59931,2.791666666666667,2.3000000000000003,3.2
nanc1247,93.3921,7.94812,3.2,2.5,4.5
nand1266,35.408478,0.793737,3.1833333333333336,2.5,3.7
naro1249,20.7458,-22.0939,1.6666666666666667,1.3,2.1
yong1270,100.9,27.8,1.8916666666666668,1.4000000000000001,2.7
nava1243,250.62,36.33,4.158333333333333,3.3000000000000003,5.1000000000000005
ncan1245,10.5312,6.50696,1.7583333333333333,1.5,2.1
ndau1241,33.1739,-20.1239,2.6,2.1,3.2
ndon1254,17.35,-17.22,1.3416666666666668,1.1,1.6
nenn1238,142.032,-8.62183,4.291666666666667,3.3000000000000003,5.3
neng1238,167.964,-21.5305,3.6083333333333334,3.3000000000000003,3.8000000000000003
nucl1706,48.8128,31.3443,2.591666666666667,1.8,3.6
nepa1254,85,28,1.4000000000000001,0.8,1.9000000000000001
nezp1238,243.592,46.3073,3.791666666666667,3.3000000000000003,4.5
ngaa1240,127.602,-25.7514,3.875,3.1,4.5
ngal1292,133.936,-13.9783,2.15,1.7,2.5
