distance,langname_a,langname_b,title_a,imprint_a,year_a,title_b,imprint_b,year_b,id_a,id_b,glottocode_a,glottocode_b
34.46549638032104,Bengali,Bodo-Mech,Pocket English-Bengali dictionary.,"New Bengal Press, 1964.",1964,"K.B.S. students dictionary, Anglo-Bodo / edited by Boro & Basumatari.","Kamakhya Book Stall, 1999.",1999,mdp.39015020061449,mdp.39015042406028,beng1280,bodo1269
34.476976209970985,Spanish,Spanish,"Webster's new world Spanish dictionary : [Spanish/English, English/Spanish.","Wiley, c2003.",2003,Webster's New World concise Spanish dictionary.,"Wiley Pub., c2006.",2006,mdp.39015057575477,inu.30000107538336,stan1288,stan1288
34.476976209970985,Spanish,Spanish,Webster's New World concise Spanish dictionary.,"Wiley Pub., c2006.",2006,"Webster's new world Spanish dictionary : [Spanish/English, English/Spanish.","Wiley, c2003.",2003,inu.30000107538336,mdp.39015057575477,stan1288,stan1288
34.47866892188211,Korean,Bulgarian,Essence Korean-English dictionary = Essensŭ Yŏng-Han sajŏn / Minjung Sŏrim Pʻyŏnjipkuk pʻyŏn,"Hollym International Corp. ; Minjung Sŏrim, c2003",2002,Passport : Angliĭsko-bulgarski ucheben rechnik : Bulgarsko-angliĭski rechnik = English-Bulgarian learner's dictionary : Bulgarian-English Dictionary / redaktor Zhechka Georgieva.,"Kolibri, 2000.",2000,uc1.31822034455014,inu.30000068182926,kore1280,bulg1262
34.47866892188211,Bulgarian,Korean,Passport : Angliĭsko-bulgarski ucheben rechnik : Bulgarsko-angliĭski rechnik = English-Bulgarian learner's dictionary : Bulgarian-English Dictionary / redaktor Zhechka Georgieva.,"Kolibri, 2000.",2000,Essence Korean-English dictionary = Essensŭ Yŏng-Han sajŏn / Minjung Sŏrim Pʻyŏnjipkuk pʻyŏn,"Hollym International Corp. ; Minjung Sŏrim, c2003",2002,inu.30000068182926,uc1.31822034455014,bulg1262,kore1280
34.48128520374354,German,German,"The new Schöffler-Weis German and English dictionary : English -German, German-English / by Herbert Schöffler ; completely revised, greatly expanded, and fully updated by Erich Weis and Erwin Weis, in collaboration with Heinrich Mattutat ; foreword by Kenneth J. Northcott.","Follett, 1974.",1974,"Dictionary of the English and German languages, entirely rewritten, greatly enlarged and augmented by all the latest expressions connedted with aviatics, motoring, travelling, sport, etc.","Regan pub. co., 1923.",1923,uva.x000284322,osu.32435015942832,stan1295,stan1295
34.48128520374354,German,German,"Dictionary of the English and German languages, entirely rewritten, greatly enlarged and augmented by all the latest expressions connedted with aviatics, motoring, travelling, sport, etc.","Regan pub. co., 1923.",1923,"The new Schöffler-Weis German and English dictionary : English -German, German-English / by Herbert Schöffler ; completely revised, greatly expanded, and fully updated by Erich Weis and Erwin Weis, in collaboration with Heinrich Mattutat ; foreword by Kenneth J. Northcott.","Follett, 1974.",1974,osu.32435015942832,uva.x000284322,stan1295,stan1295
34.48494708086323,French,French,Collins Robert comprehensive French-English dictionary / [by Beryl T. Atkins ... [et al.]],"HarperCollins, 1995",1995,"Random House French-English, English-French dictionary / Hélène Gutman.","Random House, c1997.",1997,uc1.32106013567653,mdp.39015046867019,stan1290,stan1290
34.48494708086323,French,French,"Random House French-English, English-French dictionary / Hélène Gutman.","Random House, c1997.",1997,Collins Robert comprehensive French-English dictionary / [by Beryl T. Atkins ... [et al.]],"HarperCollins, 1995",1995,mdp.39015046867019,uc1.32106013567653,stan1290,stan1290
34.50033755249461,German,German,"A new and complete dictionary of the English and German languages, containing all the English words and phrases in general use up to the present time, the designation of the pronunciation and accentuation after the most approved principles. Compiled from the best authorities.","Fest, [1839?]",1839,"Dictionary of the English and German languages, entirely remodelled and greatly enlarged by Hermann Lambeck.","P. Reclam jun., etc., etc., 1894.",1894,uc1.c021273027,hvd.hn64ru,stan1295,stan1295
